instrument,n,n_directional,hit_rate,IC,mean_ret_dir,agent
XAUUSD,65,65,0.5692307692307692,0.09067324782853688,0.0025340054401587443,decision_tree
USOIL,65,65,0.46153846153846156,-0.014346283512215535,0.0006309507282022014,decision_tree
ES1!,65,65,0.49230769230769234,-0.2327064977135376,-9.944012333096787e-05,decision_tree
NQ1!,65,64,0.53125,0.029221471729777872,0.002128666476336541,decision_tree
XAUUSD,65,65,0.6,0.09173716924130577,0.0036626526032405185,random_forest
USOIL,65,65,0.6,0.03479747785378988,0.006019674853300136,random_forest
ES1!,65,65,0.5846153846153846,-0.1264719312710942,0.0029289814044490808,random_forest
NQ1!,65,65,0.5692307692307692,-0.011089711280922393,0.0036364981008867162,random_forest
XAUUSD,65,65,0.5538461538461539,0.03240363047086529,0.0008403959624230052,gradient_boost
USOIL,65,65,0.5846153846153846,0.03831287068754658,0.0015013889243385844,gradient_boost
ES1!,65,65,0.47692307692307695,-0.21470096286026133,-0.0010348949369558154,gradient_boost
NQ1!,65,65,0.6,0.038491662959455844,0.0044418286477357904,gradient_boost
XAUUSD,65,21,0.7142857142857143,0.10434772076188692,0.005001704546889318,lasso_factors
USOIL,65,12,0.25,0.14230166548973394,-0.008283483313234133,lasso_factors
ES1!,65,6,0.5,-0.024024862892641427,0.0007312115074447623,lasso_factors
NQ1!,65,24,0.5,-0.23721493110348296,-0.0019826356957124702,lasso_factors
